Detector,Descritptor,Detector Time,Descriptor Time,Time per KPts (in ms)
FAST,BRIEF,9.50854,8.49287,0.0177354
FAST,ORB,9.64983,10.9527,0.0203784
FAST,BRISK,9.1392,19.0449,0.0297929
SHITOMASI,BRIEF,117.592,6.51827,0.13729
SHITOMASI,ORB,118.457,10.2979,0.143061
ORB,BRISK,89.5178,16.3592,0.147667
ORB,BRIEF,83.3593,7.0007,0.164291
SHITOMASI,BRISK,123.412,19.7834,0.174204
ORB,ORB,85.8596,52.2948,0.179655
FAST,SIFT,9.83706,285.178,0.290656
BRISK,BRIEF,478.312,11.9332,0.316287
BRISK,BRISK,479.815,34.5556,0.321482
BRISK,ORB,473.947,48.6329,0.330328
SHITOMASI,SIFT,177.751,211.848,0.425791
FAST,FREAK,9.14334,483.351,0.53358
BRISK,FREAK,473.805,514.827,0.661735
SHITOMASI,FREAK,125.216,482.411,0.734736
BRISK,SIFT,475.963,693.534,0.761391
AKAZE,BRISK,1069.54,21.4799,0.868644
AKAZE,BRIEF,1087.37,9.03778,0.875023
AKAZE,ORB,1105.4,32.9444,0.942334
HARRIS,BRIEF,156.026,4.18606,0.995103
HARRIS,ORB,162.816,9.04899,1.08091
AKAZE,SIFT,1038.63,351.073,1.08826
HARRIS,BRISK,165.126,5.96017,1.17183
ORB,SIFT,95.5971,759.919,1.19153
AKAZE,FREAK,1097.3,507.3,1.28163
ORB,FREAK,81.4171,479.51,1.35818
AKAZE,AKAZE,1090.56,979.721,1.65623
HARRIS,SIFT,176.541,161.44,2.09926
SIFT,BRIEF,1582.38,8.48064,2.1127
SIFT,BRISK,1580.26,17.8045,2.27645
SIFT,SIFT,1366.1,845.248,2.65787
SIFT,FREAK,1560.56,490.544,3.00308
HARRIS,FREAK,159.442,480.392,4.20943
